pond,cycle,Pond_Cycle,No_Spec,Connectance,Weighted_connectance,Unique_Nodes,UniqueEdges,TotalEdges,modularity,mean_Distance,harm.centrality,betweenness,betweenness_weighted,J,mean_t,sd_t,B,markov_memory,time_memory
1,1,pond_1_cycle_1,7,0.1625,0.8583333333333333,16,39,103,0.28772740126307855,1.6192361111111113,1.1282046639527232,0.44359788359788355,6.419047619047619,0.8520687755729266,2.495145631067961,2.8555889005211768,0.06736332503981769,0,-0.1349597291934166
1,2,pond_1_cycle_2,5,0.25,1.9722222222222223,9,18,71,0.05415592144415794,1.5498436748436744,1.6538325042851987,0.6930803571428571,5.785714285714286,0.6932802595752647,4.577464788732394,11.293059780022906,0.42314889858849863,0,-0.025442067795461522
1,3,pond_1_cycle_3,4,0.47619047619047616,3.5714285714285716,7,20,75,0,0.8365588115588116,2.911941451221636,0.23333333333333334,4.166666666666667,0.8278379053281244,4.48,6.333864368443473,0.17143403183910233,0,-0.11355038802055893
1,4,pond_1_cycle_4,7,0.14473684210526316,0.6947368421052632,20,55,132,0.2945362718089991,1.9643238304093587,1.0877943781588508,0.28937108854006366,7.526315789473684,0.8704802932789099,2.643939393939394,3.210508926761916,0.09677590471148817,0,-0.10454843759186445
1,5,pond_1_cycle_5,6,0.23333333333333334,2.111111111111111,10,21,95,0.023268698060941853,0.8381481481481481,2.3724643777275345,0.9243827160493827,8.402777777777779,0.9096754611951553,3.2421052631578946,3.7493709812126137,0.07255487973132516,0,-0.18205136375223044
1,6,pond_1_cycle_6,6,0.24242424242424243,1.4242424242424243,12,32,94,0.15261430511543686,1.2314123376623378,1.7098228775759716,0.7132231404958678,8.4,0.8739915205600827,2.9893617021276597,3.6352358070888826,0.09749635416531248,0,-0.06266176152347977
1,7,pond_1_cycle_7,7,0.17142857142857143,0.8,15,36,84,0.10345804988662136,1.6402248677248676,1.1517228722159063,0.5614207221350078,8.428571428571429,0.8721861248980658,3.369047619047619,4.546360286330901,0.14873682839305072,0,0.10223035723277894
1,8,pond_1_cycle_8,6,0.18095238095238095,0.6952380952380952,15,38,73,0.11897166447738786,1.6217339208410626,1.0473312353723698,0.5414050235478807,9.291208791208792,0.8883337218413154,3.0821917808219177,3.085600178686358,5.526123265532602e-4,0,0.11598257463730466
1,9,pond_1_cycle_9,5,0.2777777777777778,2.066666666666667,10,25,93,0.14111457972019884,0.8969035594035597,2.3339320275073456,0.5524691358024691,6.430555555555555,0.8586530852034647,3.086021505376344,4.940198715371537,0.23101499323456404,0,-0.06221326156292201
1,10,pond_1_cycle_10,5,0.18181818181818182,1.0151515151515151,12,24,67,0.13633325907774554,1.7657046657046653,1.3167613604276485,0.5272727272727273,6.7272727272727275,0.8751746438289536,4.298507462686567,6.438555563057589,0.1993141043542213,0,-0.12864265686199636
1,11,pond_1_cycle_11,5,0.35714285714285715,1.9642857142857142,8,20,55,0.14330578512396694,0.8512633624878524,2.1685351788906777,0.419501133786848,3.1666666666666665,0.9220963298511259,4.327272727272727,9.323515760052434,0.3660039885182272,0,-0.0880823352991517
1,12,pond_1_cycle_12,4,0.2777777777777778,1.9333333333333333,10,25,87,0.3761395164486722,1.1729244829244834,1.869402101802182,0.29423868312757195,4.305555555555555,0.8460594474954926,2.9080459770114944,2.9752161692346806,0.011417167984949347,0,-0.08859016459023472
1,13,pond_1_cycle_13,7,0.12573099415204678,0.6023391812865497,19,43,103,0.4560279008389103,2.184452405943635,0.8645700536088446,0.4462297264584846,9.264705882352942,0.8674234497501742,2.621359223300971,3.3287709115314943,0.11889012041758336,0,-0.008967729139344516
1,14,pond_1_cycle_14,10,0.13421052631578947,0.5736842105263158,20,51,109,0.37867182897062535,2.231334301663254,0.9312441030688139,0.30835128757566427,7.3654970760233915,0.904518522719632,2.9908256880733943,4.208667011730711,0.16915654677869918,0,-0.12232634426135164
1,15,pond_1_cycle_15,10,0.09963768115942029,0.3333333333333333,24,55,92,0.40784499054820417,2.81878019323671,0.6661987256645285,0.3524660594603884,11.362648221343873,0.9573007169817322,2.739130434782609,3.274508822213776,0.08902735341304314,0,-0.06119314049980143
